date,code,open,close,high,low,vol,amount,up_count,down_count,date_stamp,volume
2019-10-11,000300,3885.52,3911.73,3922.37,3868.84,934125.0,139817304064.0,200,92,1570723200.0,934125.0
2019-10-14,000300,3944.86,3953.24,3983.81,3934.73,1223936.0,167857127424.0,254,41,1570982400.0,1223936.0
2019-10-15,000300,3953.16,3936.25,3953.16,3928.15,852739.0,125117104128.0,71,222,1571068800.0,852739.0
2019-10-16,000300,3939.28,3922.69,3964.05,3919.02,832297.0,128558530560.0,94,190,1571155200.0,832297.0
2019-10-17,000300,3929.39,3925.22,3935.81,3913.92,648637.0,99991846912.0,109,177,1571241600.0,648637.0
2019-10-18,000300,3935.42,3869.38,3940.54,3864.97,823211.0,122186924032.0,37,258,1571328000.0,823211.0
2019-10-21,000300,3865.34,3880.84,3884.74,3856.04,741829.0,110858231808.0,138,149,1571587200.0,741829.0
2019-10-22,000300,3896.32,3895.88,3897.44,3870.55,689185.0,102843367424.0,200,82,1571673600.0,689185.0
2019-10-23,000300,3892.68,3871.08,3901.42,3862.2,701986.0,99733602304.0,59,225,1571760000.0,701986.0
2019-10-24,000300,3877.92,3870.67,3890.2,3852.58,713345.0,105096953856.0,138,145,1571846400.0,713345.0
2019-10-25,000300,3871.77,3896.79,3899.72,3849.03,774536.0,126677483520.0,218,70,1571932800.0,774536.0
2019-10-28,000300,3904.98,3926.59,3927.8,3897.82,974060.0,150762209280.0,219,69,1572192000.0,974060.0
2019-10-29,000300,3929.71,3910.23,3932.37,3910.23,822570.0,139611422720.0,64,231,1572278400.0,822570.0
2019-10-30,000300,3904.72,3891.23,3908.1,3883.45,778729.0,122610499584.0,87,206,1572364800.0,778729.0
2019-10-31,000300,3906.86,3886.75,3907.15,3878.88,867145.0,135012425728.0,126,167,1572451200.0,867145.0
2019-11-01,000300,3883.81,3952.39,3956.08,3876.42,1006896.0,151471063040.0,250,43,1572537600.0,1006896.0
2019-11-04,000300,3964.01,3978.12,3985.36,3964.01,1041938.0,154485358592.0,183,94,1572796800.0,1041938.0
2019-11-05,000300,3982.12,4002.81,4030.64,3970.87,1129118.0,163317858304.0,211,75,1572883200.0,1129118.0
2019-11-06,000300,4006.33,3984.88,4007.5,3973.78,973129.0,139859771392.0,81,209,1572969600.0,973129.0
2019-11-07,000300,3984.55,3991.88,4005.38,3975.55,872548.0,117751554048.0,162,119,1573056000.0,872548.0
2019-11-08,000300,4017.67,3973.01,4022.04,3971.57,971069.0,139026677760.0,79,206,1573142400.0,971069.0
2019-11-11,000300,3948.62,3902.98,3948.62,3897.55,941556.0,130330083328.0,14,284,1573401600.0,941556.0
2019-11-12,000300,3905.96,3903.69,3914.88,3877.74,765430.0,108828237824.0,161,124,1573488000.0,765430.0
2019-11-13,000300,3905.28,3899.98,3908.42,3882.43,767490.0,112057147392.0,82,205,1573574400.0,767490.0
